,mean,std
LB,133.35449735449737,9.869538343552142
AC,0.003188124632569077,0.003894475734374789
FM,0.010074074074074076,0.048803246436534296
UC,0.004406819517930629,0.0029374339435468463
DL,0.0019071134626690183,0.0029928664134710983
DS,3.527336860670194e-06,5.9303982501108226e-05
DP,0.000157554379776602,0.0005969409401370362
ASTV,47.07818930041152,17.197616127944716
MSTV,1.3262198706643151,0.8932658499502135
ALTV,10.161669606114051,18.784670547116786
MLTV,8.068018812463258,5.482735482102407
Width,69.97413286302175,38.783144169524235
Min,93.93180482069371,29.678414510521836
Max,163.90593768371545,17.902759400018137
Nmax,4.049970605526161,2.9244157283253407
Nzeros,0.32098765432098764,0.6956760320811695
Mode,137.63433274544386,16.471518287239412
Mean,134.7989417989418,15.556448220352003
Median,138.27278071722517,14.566509326840992
Variance,18.853615520282187,29.171909839519067
Tendency,0.32451499118165783,0.6159009301864579
